,State,Year,Quarter,Pincode,Reg_Users
0,Andaman & Nicobar,2018,1,744103,1608
1,Andaman & Nicobar,2018,1,744101,1108
2,Andaman & Nicobar,2018,1,744105,1075
3,Andaman & Nicobar,2018,1,744102,1006
4,Andaman & Nicobar,2018,1,744104,272
5,Andaman & Nicobar,2018,1,744202,237
6,Andaman & Nicobar,2018,1,744112,215
7,Andaman & Nicobar,2018,1,744301,207
8,Andaman & Nicobar,2018,1,744107,196
9,Andaman & Nicobar,2018,1,744211,156
10,Andaman & Nicobar,2018,2,744103,2188
11,Andaman & Nicobar,2018,2,744101,1521
12,Andaman & Nicobar,2018,2,744105,1492
13,Andaman & Nicobar,2018,2,744102,1419
14,Andaman & Nicobar,2018,2,744104,396
15,Andaman & Nicobar,2018,2,744202,343
16,Andaman & Nicobar,2018,2,744112,299
17,Andaman & Nicobar,2018,2,744107,293
18,Andaman & Nicobar,2018,2,744301,273
19,Andaman & Nicobar,2018,2,744211,240
20,Andaman & Nicobar,2018,3,744103,2741
21,Andaman & Nicobar,2018,3,744101,1978
22,Andaman & Nicobar,2018,3,744105,1935
23,Andaman & Nicobar,2018,3,744102,1803
24,Andaman & Nicobar,2018,3,744104,507
25,Andaman & Nicobar,2018,3,744202,446
26,Andaman & Nicobar,2018,3,744112,388
27,Andaman & Nicobar,2018,3,744107,384
28,Andaman & Nicobar,2018,3,744301,372
29,Andaman & Nicobar,2018,3,744211,327
30,Andaman & Nicobar,2018,4,744103,3373
31,Andaman & Nicobar,2018,4,744101,2498
32,Andaman & Nicobar,2018,4,744105,2416
33,Andaman & Nicobar,2018,4,744102,2231
34,Andaman & Nicobar,2018,4,744104,634
35,Andaman & Nicobar,2018,4,744202,554
36,Andaman & Nicobar,2018,4,744107,548
37,Andaman & Nicobar,2018,4,744112,496
38,Andaman & Nicobar,2018,4,744211,433
39,Andaman & Nicobar,2018,4,744301,425
40,Andaman & Nicobar,2019,1,744103,4136
41,Andaman & Nicobar,2019,1,744101,3030
42,Andaman & Nicobar,2019,1,744105,2994
43,Andaman & Nicobar,2019,1,744102,2667
44,Andaman & Nicobar,2019,1,744104,756
45,Andaman & Nicobar,2019,1,744202,753
46,Andaman & Nicobar,2019,1,744107,667
47,Andaman & Nicobar,2019,1,744112,585
48,Andaman & Nicobar,2019,1,744211,524
49,Andaman & Nicobar,2019,1,744301,488
50,Andaman & Nicobar,2019,2,744103,4748
51,Andaman & Nicobar,2019,2,744101,3631
52,Andaman & Nicobar,2019,2,744105,3547
53,Andaman & Nicobar,2019,2,744102,3008
54,Andaman & Nicobar,2019,2,744202,885
55,Andaman & Nicobar,2019,2,744104,878
56,Andaman & Nicobar,2019,2,744107,787
57,Andaman & Nicobar,2019,2,744112,672
58,Andaman & Nicobar,2019,2,744211,633
59,Andaman & Nicobar,2019,2,744301,534
60,Andaman & Nicobar,2019,3,744103,5218
61,Andaman & Nicobar,2019,3,744101,4026
62,Andaman & Nicobar,2019,3,744105,3920
63,Andaman & Nicobar,2019,3,744102,3250
64,Andaman & Nicobar,2019,3,744202,982
65,Andaman & Nicobar,2019,3,744104,975
66,Andaman & Nicobar,2019,3,744107,885
67,Andaman & Nicobar,2019,3,744112,765
68,Andaman & Nicobar,2019,3,744211,701
69,Andaman & Nicobar,2019,3,744301,575
70,Andaman & Nicobar,2019,4,744103,5637
71,Andaman & Nicobar,2019,4,744101,4321
72,Andaman & Nicobar,2019,4,744105,4277
73,Andaman & Nicobar,2019,4,744102,3485
74,Andaman & Nicobar,2019,4,744202,1087
75,Andaman & Nicobar,2019,4,744104,1062
76,Andaman & Nicobar,2019,4,744107,953
77,Andaman & Nicobar,2019,4,744112,812
78,Andaman & Nicobar,2019,4,744211,783
79,Andaman & Nicobar,2019,4,744301,611
80,Andaman & Nicobar,2020,1,744103,6108
81,Andaman & Nicobar,2020,1,744101,4689
82,Andaman & Nicobar,2020,1,744105,4684
83,Andaman & Nicobar,2020,1,744102,3727
84,Andaman & Nicobar,2020,1,744202,1216
85,Andaman & Nicobar,2020,1,744104,1154
86,Andaman & Nicobar,2020,1,744107,1062
87,Andaman & Nicobar,2020,1,744112,889
88,Andaman & Nicobar,2020,1,744211,886
89,Andaman & Nicobar,2020,1,744301,669
90,Andaman & Nicobar,2020,2,744103,6804
91,Andaman & Nicobar,2020,2,744105,5479
92,Andaman & Nicobar,2020,2,744101,5365
93,Andaman & Nicobar,2020,2,744102,4066
94,Andaman & Nicobar,2020,2,744202,1475
95,Andaman & Nicobar,2020,2,744104,1333
96,Andaman & Nicobar,2020,2,744107,1252
97,Andaman & Nicobar,2020,2,744112,1039
98,Andaman & Nicobar,2020,2,744211,1036
99,Andaman & Nicobar,2020,2,744205,806
100,Andaman & Nicobar,2020,3,744103,8318
101,Andaman & Nicobar,2020,3,744105,7007
102,Andaman & Nicobar,2020,3,744101,6881
103,Andaman & Nicobar,2020,3,744102,4919
104,Andaman & Nicobar,2020,3,744202,1965
105,Andaman & Nicobar,2020,3,744104,1718
106,Andaman & Nicobar,2020,3,744107,1710
107,Andaman & Nicobar,2020,3,744112,1372
108,Andaman & Nicobar,2020,3,744211,1279
109,Andaman & Nicobar,2020,3,744205,1008
110,Andaman & Nicobar,2020,4,744103,10408
111,Andaman & Nicobar,2020,4,744105,8962
112,Andaman & Nicobar,2020,4,744101,8593
113,Andaman & Nicobar,2020,4,744102,5882
114,Andaman & Nicobar,2020,4,744202,2711
115,Andaman & Nicobar,2020,4,744107,2346
116,Andaman & Nicobar,2020,4,744104,2167
117,Andaman & Nicobar,2020,4,744112,1761
118,Andaman & Nicobar,2020,4,744211,1579
119,Andaman & Nicobar,2020,4,744205,1346
120,Andaman & Nicobar,2021,1,744103,11416
121,Andaman & Nicobar,2021,1,744105,9934
122,Andaman & Nicobar,2021,1,744101,9457
123,Andaman & Nicobar,2021,1,744102,6395
124,Andaman & Nicobar,2021,1,744202,3005
125,Andaman & Nicobar,2021,1,744107,2586
126,Andaman & Nicobar,2021,1,744104,2383
127,Andaman & Nicobar,2021,1,744112,1940
128,Andaman & Nicobar,2021,1,744211,1774
129,Andaman & Nicobar,2021,1,744205,1505
130,Andaman & Nicobar,2021,2,744103,12268
131,Andaman & Nicobar,2021,2,744105,10668
132,Andaman & Nicobar,2021,2,744101,10120
133,Andaman & Nicobar,2021,2,744102,6837
134,Andaman & Nicobar,2021,2,744202,3261
135,Andaman & Nicobar,2021,2,744107,2783
136,Andaman & Nicobar,2021,2,744104,2573
137,Andaman & Nicobar,2021,2,744112,2083
138,Andaman & Nicobar,2021,2,744211,1904
139,Andaman & Nicobar,2021,2,744205,1626
140,Andaman & Nicobar,2021,3,744103,13198
141,Andaman & Nicobar,2021,3,744105,11480
142,Andaman & Nicobar,2021,3,744101,10866
143,Andaman & Nicobar,2021,3,744102,7313
144,Andaman & Nicobar,2021,3,744202,3543
145,Andaman & Nicobar,2021,3,744107,3027
146,Andaman & Nicobar,2021,3,744104,2777
147,Andaman & Nicobar,2021,3,744112,2250
148,Andaman & Nicobar,2021,3,744211,2055
149,Andaman & Nicobar,2021,3,744205,1771
150,Andaman & Nicobar,2021,4,744103,14127
151,Andaman & Nicobar,2021,4,744105,12300
152,Andaman & Nicobar,2021,4,744101,11623
153,Andaman & Nicobar,2021,4,744102,7813
154,Andaman & Nicobar,2021,4,744202,3815
155,Andaman & Nicobar,2021,4,744107,3247
156,Andaman & Nicobar,2021,4,744104,2962
157,Andaman & Nicobar,2021,4,744112,2411
158,Andaman & Nicobar,2021,4,744211,2200
159,Andaman & Nicobar,2021,4,744205,1902
160,Andaman & Nicobar,2022,1,744103,15011
161,Andaman & Nicobar,2022,1,744105,13070
162,Andaman & Nicobar,2022,1,744101,12300
163,Andaman & Nicobar,2022,1,744102,8271
164,Andaman & Nicobar,2022,1,744202,4107
165,Andaman & Nicobar,2022,1,744107,3455
166,Andaman & Nicobar,2022,1,744104,3146
167,Andaman & Nicobar,2022,1,744112,2552
168,Andaman & Nicobar,2022,1,744211,2344
169,Andaman & Nicobar,2022,1,744205,2034
170,Andaman & Nicobar,2022,2,744103,15799
171,Andaman & Nicobar,2022,2,744105,13791
172,Andaman & Nicobar,2022,2,744101,12947
173,Andaman & Nicobar,2022,2,744102,8709
174,Andaman & Nicobar,2022,2,744202,4361
175,Andaman & Nicobar,2022,2,744107,3674
176,Andaman & Nicobar,2022,2,744104,3319
177,Andaman & Nicobar,2022,2,744112,2700
178,Andaman & Nicobar,2022,2,744211,2471
179,Andaman & Nicobar,2022,2,744205,2162
180,Andaman & Nicobar,2022,3,744103,16666
181,Andaman & Nicobar,2022,3,744105,14503
182,Andaman & Nicobar,2022,3,744101,13649
183,Andaman & Nicobar,2022,3,744102,9148
184,Andaman & Nicobar,2022,3,744202,4572
185,Andaman & Nicobar,2022,3,744107,3868
186,Andaman & Nicobar,2022,3,744104,3493
187,Andaman & Nicobar,2022,3,744112,2837
188,Andaman & Nicobar,2022,3,744211,2577
189,Andaman & Nicobar,2022,3,744205,2268
190,Andaman & Nicobar,2022,4,744103,17406
191,Andaman & Nicobar,2022,4,744105,15185
192,Andaman & Nicobar,2022,4,744101,14337
193,Andaman & Nicobar,2022,4,744102,9591
194,Andaman & Nicobar,2022,4,744202,4760
195,Andaman & Nicobar,2022,4,744107,4051
196,Andaman & Nicobar,2022,4,744104,3647
197,Andaman & Nicobar,2022,4,744112,2975
198,Andaman & Nicobar,2022,4,744211,2679
199,Andaman & Nicobar,2022,4,744205,2358
200,Andhra Pradesh,2018,1,517501,39884
201,Andhra Pradesh,2018,1,530016,34201
202,Andhra Pradesh,2018,1,517507,34111
203,Andhra Pradesh,2018,1,515001,31964
204,Andhra Pradesh,2018,1,516001,29078
205,Andhra Pradesh,2018,1,518002,29043
206,Andhra Pradesh,2018,1,530026,26889
207,Andhra Pradesh,2018,1,516360,26187
208,Andhra Pradesh,2018,1,520010,24397
209,Andhra Pradesh,2018,1,524002,23439
210,Andhra Pradesh,2018,2,517501,53468
211,Andhra Pradesh,2018,2,517507,45241
212,Andhra Pradesh,2018,2,530016,43386
213,Andhra Pradesh,2018,2,515001,42466
214,Andhra Pradesh,2018,2,516001,38402
215,Andhra Pradesh,2018,2,518002,37593
216,Andhra Pradesh,2018,2,516360,34544
217,Andhra Pradesh,2018,2,530026,34126
218,Andhra Pradesh,2018,2,520010,31871
219,Andhra Pradesh,2018,2,524002,31134
220,Andhra Pradesh,2018,3,517501,65157
221,Andhra Pradesh,2018,3,517507,54849
222,Andhra Pradesh,2018,3,530016,52259
223,Andhra Pradesh,2018,3,515001,51449
224,Andhra Pradesh,2018,3,516001,46691
225,Andhra Pradesh,2018,3,518002,45145
226,Andhra Pradesh,2018,3,516360,41963
227,Andhra Pradesh,2018,3,530026,40580
228,Andhra Pradesh,2018,3,520010,38918
229,Andhra Pradesh,2018,3,524002,37559
230,Andhra Pradesh,2018,4,517501,82873
231,Andhra Pradesh,2018,4,517507,70421
232,Andhra Pradesh,2018,4,530016,65549
233,Andhra Pradesh,2018,4,515001,63576
234,Andhra Pradesh,2018,4,516001,58028
235,Andhra Pradesh,2018,4,518002,55735
236,Andhra Pradesh,2018,4,516360,52058
237,Andhra Pradesh,2018,4,530026,51900
238,Andhra Pradesh,2018,4,520010,48991
239,Andhra Pradesh,2018,4,524002,46616
240,Andhra Pradesh,2019,1,517501,100561
241,Andhra Pradesh,2019,1,517507,85980
242,Andhra Pradesh,2019,1,530016,77790
243,Andhra Pradesh,2019,1,515001,75171
244,Andhra Pradesh,2019,1,516001,68514
245,Andhra Pradesh,2019,1,518002,66689
246,Andhra Pradesh,2019,1,530026,61623
247,Andhra Pradesh,2019,1,516360,60798
248,Andhra Pradesh,2019,1,520010,59055
249,Andhra Pradesh,2019,1,524002,55931
250,Andhra Pradesh,2019,2,517501,113033
251,Andhra Pradesh,2019,2,517507,97534
252,Andhra Pradesh,2019,2,530016,87556
253,Andhra Pradesh,2019,2,515001,84157
254,Andhra Pradesh,2019,2,516001,76617
255,Andhra Pradesh,2019,2,518002,75952
256,Andhra Pradesh,2019,2,530026,68283
257,Andhra Pradesh,2019,2,516360,66885
258,Andhra Pradesh,2019,2,520010,66082
259,Andhra Pradesh,2019,2,524002,62933
260,Andhra Pradesh,2019,3,517501,124727
261,Andhra Pradesh,2019,3,517507,108199
262,Andhra Pradesh,2019,3,530016,97323
263,Andhra Pradesh,2019,3,515001,93191
264,Andhra Pradesh,2019,3,518002,84918
265,Andhra Pradesh,2019,3,516001,84693
266,Andhra Pradesh,2019,3,530026,74501
267,Andhra Pradesh,2019,3,516360,73267
268,Andhra Pradesh,2019,3,520010,72722
269,Andhra Pradesh,2019,3,524002,69783
270,Andhra Pradesh,2019,4,517501,136436
271,Andhra Pradesh,2019,4,517507,119146
272,Andhra Pradesh,2019,4,530016,106404
273,Andhra Pradesh,2019,4,515001,102848
274,Andhra Pradesh,2019,4,516001,94209
275,Andhra Pradesh,2019,4,518002,94193
276,Andhra Pradesh,2019,4,516360,81619
277,Andhra Pradesh,2019,4,530026,81191
278,Andhra Pradesh,2019,4,520010,79453
279,Andhra Pradesh,2019,4,524002,77681
280,Andhra Pradesh,2020,1,517501,146823
281,Andhra Pradesh,2020,1,517507,129214
282,Andhra Pradesh,2020,1,530016,114042
283,Andhra Pradesh,2020,1,515001,111359
284,Andhra Pradesh,2020,1,518002,102905
285,Andhra Pradesh,2020,1,516001,102893
286,Andhra Pradesh,2020,1,516360,89774
287,Andhra Pradesh,2020,1,530026,87449
288,Andhra Pradesh,2020,1,524002,85878
289,Andhra Pradesh,2020,1,520010,85779
290,Andhra Pradesh,2020,2,517501,156221
291,Andhra Pradesh,2020,2,517507,138735
292,Andhra Pradesh,2020,2,530016,120621
293,Andhra Pradesh,2020,2,515001,119223
294,Andhra Pradesh,2020,2,518002,112673
295,Andhra Pradesh,2020,2,516001,111898
296,Andhra Pradesh,2020,2,516360,98803
297,Andhra Pradesh,2020,2,524002,93834
298,Andhra Pradesh,2020,2,530026,93224
299,Andhra Pradesh,2020,2,520010,91299
300,Andhra Pradesh,2020,3,517501,166768
301,Andhra Pradesh,2020,3,517507,149001
302,Andhra Pradesh,2020,3,515001,128227
303,Andhra Pradesh,2020,3,530016,128059
304,Andhra Pradesh,2020,3,518002,121529
305,Andhra Pradesh,2020,3,516001,120997
306,Andhra Pradesh,2020,3,516360,108073
307,Andhra Pradesh,2020,3,524002,102103
308,Andhra Pradesh,2020,3,530026,99754
309,Andhra Pradesh,2020,3,520010,97752
310,Andhra Pradesh,2020,4,517501,178328
311,Andhra Pradesh,2020,4,517507,160062
312,Andhra Pradesh,2020,4,515001,137945
313,Andhra Pradesh,2020,4,530016,136049
314,Andhra Pradesh,2020,4,518002,130871
315,Andhra Pradesh,2020,4,516001,130500
316,Andhra Pradesh,2020,4,516360,117397
317,Andhra Pradesh,2020,4,524002,110746
318,Andhra Pradesh,2020,4,530026,106320
319,Andhra Pradesh,2020,4,520010,104956
320,Andhra Pradesh,2021,1,517501,190712
321,Andhra Pradesh,2021,1,517507,171417
322,Andhra Pradesh,2021,1,515001,147941
323,Andhra Pradesh,2021,1,530016,145206
324,Andhra Pradesh,2021,1,518002,140153
325,Andhra Pradesh,2021,1,516001,139840
326,Andhra Pradesh,2021,1,516360,126260
327,Andhra Pradesh,2021,1,524002,118730
328,Andhra Pradesh,2021,1,530026,113581
329,Andhra Pradesh,2021,1,520010,112324
330,Andhra Pradesh,2021,2,517501,203005
331,Andhra Pradesh,2021,2,517507,182425
332,Andhra Pradesh,2021,2,515001,157649
333,Andhra Pradesh,2021,2,530016,154509
334,Andhra Pradesh,2021,2,518002,149368
335,Andhra Pradesh,2021,2,516001,148851
336,Andhra Pradesh,2021,2,516360,134622
337,Andhra Pradesh,2021,2,524002,126459
338,Andhra Pradesh,2021,2,530026,120973
339,Andhra Pradesh,2021,2,520010,119561
340,Andhra Pradesh,2021,3,517501,216777
341,Andhra Pradesh,2021,3,517507,194860
342,Andhra Pradesh,2021,3,515001,168654
343,Andhra Pradesh,2021,3,530016,164812
344,Andhra Pradesh,2021,3,518002,159802
345,Andhra Pradesh,2021,3,516001,158891
346,Andhra Pradesh,2021,3,516360,144068
347,Andhra Pradesh,2021,3,524002,135136
348,Andhra Pradesh,2021,3,530026,129270
349,Andhra Pradesh,2021,3,520010,127618
350,Andhra Pradesh,2021,4,517501,230688
351,Andhra Pradesh,2021,4,517507,207174
352,Andhra Pradesh,2021,4,515001,179763
353,Andhra Pradesh,2021,4,530016,175300
354,Andhra Pradesh,2021,4,518002,170267
355,Andhra Pradesh,2021,4,516001,169158
356,Andhra Pradesh,2021,4,516360,153381
357,Andhra Pradesh,2021,4,524002,143764
358,Andhra Pradesh,2021,4,530026,137812
359,Andhra Pradesh,2021,4,520010,135719
360,Andhra Pradesh,2022,1,517501,243791
361,Andhra Pradesh,2022,1,517507,218905
362,Andhra Pradesh,2022,1,515001,190203
363,Andhra Pradesh,2022,1,530016,185094
364,Andhra Pradesh,2022,1,518002,180102
365,Andhra Pradesh,2022,1,516001,179007
366,Andhra Pradesh,2022,1,516360,162263
367,Andhra Pradesh,2022,1,524002,151939
368,Andhra Pradesh,2022,1,530026,145842
369,Andhra Pradesh,2022,1,520010,143308
370,Andhra Pradesh,2022,2,517501,256290
371,Andhra Pradesh,2022,2,517507,229983
372,Andhra Pradesh,2022,2,515001,200266
373,Andhra Pradesh,2022,2,530016,194513
374,Andhra Pradesh,2022,2,518002,189505
375,Andhra Pradesh,2022,2,516001,188295
376,Andhra Pradesh,2022,2,516360,170855
377,Andhra Pradesh,2022,2,524002,159834
378,Andhra Pradesh,2022,2,530026,153586
379,Andhra Pradesh,2022,2,520010,150546
380,Andhra Pradesh,2022,3,517501,269370
381,Andhra Pradesh,2022,3,517507,241720
382,Andhra Pradesh,2022,3,515001,210661
383,Andhra Pradesh,2022,3,530016,204230
384,Andhra Pradesh,2022,3,518002,199354
385,Andhra Pradesh,2022,3,516001,197910
386,Andhra Pradesh,2022,3,516360,179806
387,Andhra Pradesh,2022,3,524002,168015
388,Andhra Pradesh,2022,3,530026,161715
389,Andhra Pradesh,2022,3,520010,158071
390,Andhra Pradesh,2022,4,517501,282766
391,Andhra Pradesh,2022,4,517507,253314
392,Andhra Pradesh,2022,4,515001,221328
393,Andhra Pradesh,2022,4,530016,214155
394,Andhra Pradesh,2022,4,518002,209376
395,Andhra Pradesh,2022,4,516001,207725
396,Andhra Pradesh,2022,4,516360,188768
397,Andhra Pradesh,2022,4,524002,176415
398,Andhra Pradesh,2022,4,530026,169957
399,Andhra Pradesh,2022,4,520010,165734
400,Arunanchal Pradesh,2018,1,791110,2316
401,Arunanchal Pradesh,2018,1,791111,2203
402,Arunanchal Pradesh,2018,1,791113,1475
403,Arunanchal Pradesh,2018,1,791102,1471
404,Arunanchal Pradesh,2018,1,790104,1139
405,Arunanchal Pradesh,2018,1,791001,969
406,Arunanchal Pradesh,2018,1,791109,857
407,Arunanchal Pradesh,2018,1,792103,829
408,Arunanchal Pradesh,2018,1,792001,828
409,Arunanchal Pradesh,2018,1,790116,766
410,Arunanchal Pradesh,2018,2,791110,3488
411,Arunanchal Pradesh,2018,2,791111,3272
412,Arunanchal Pradesh,2018,2,791113,2219
413,Arunanchal Pradesh,2018,2,791102,2212
414,Arunanchal Pradesh,2018,2,790104,1698
415,Arunanchal Pradesh,2018,2,792103,1457
416,Arunanchal Pradesh,2018,2,791001,1421
417,Arunanchal Pradesh,2018,2,792001,1315
418,Arunanchal Pradesh,2018,2,791109,1231
419,Arunanchal Pradesh,2018,2,790116,1213
420,Arunanchal Pradesh,2018,3,791110,4872
421,Arunanchal Pradesh,2018,3,791111,4610
422,Arunanchal Pradesh,2018,3,791113,3178
423,Arunanchal Pradesh,2018,3,791102,3077
424,Arunanchal Pradesh,2018,3,790104,2328
425,Arunanchal Pradesh,2018,3,792103,2067
426,Arunanchal Pradesh,2018,3,791001,1907
427,Arunanchal Pradesh,2018,3,792001,1819
428,Arunanchal Pradesh,2018,3,790116,1623
