,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Transaction_type
72,Andaman & Nicobar,2019,4,744103,4840,19792507.955761045,TOTAL
73,Andaman & Nicobar,2019,4,744105,3528,15302141.17488026,TOTAL
74,Andaman & Nicobar,2019,4,744102,3237,15350444.97320769,TOTAL
75,Andaman & Nicobar,2019,4,744202,1783,5800016.5561128855,TOTAL
76,Andaman & Nicobar,2019,4,744211,1596,7908264.721918669,TOTAL
77,Andaman & Nicobar,2019,4,744301,1549,7056478.928838715,TOTAL
78,Andaman & Nicobar,2019,4,744201,886,946768.0636478986,TOTAL
79,Andaman & Nicobar,2019,4,744107,777,3030368.911900454,TOTAL
80,Andaman & Nicobar,2020,1,744101,11793,58229349.02415232,TOTAL
81,Andaman & Nicobar,2020,1,744103,5870,22009443.073053975,TOTAL
82,Andaman & Nicobar,2020,1,744105,4635,16774043.311987936,TOTAL
83,Andaman & Nicobar,2020,1,744102,3820,14517706.12269676,TOTAL
84,Andaman & Nicobar,2020,1,744211,1837,8425387.79004211,TOTAL
85,Andaman & Nicobar,2020,1,744301,1819,6901162.107519586,TOTAL
86,Andaman & Nicobar,2020,1,744202,1794,5037742.395579022,TOTAL
87,Andaman & Nicobar,2020,1,744104,1302,5293130.290633954,TOTAL
88,Andaman & Nicobar,2020,1,744201,1157,1242638.821252932,TOTAL
89,Andaman & Nicobar,2020,1,744107,1043,2990354.4448547475,TOTAL
90,Andaman & Nicobar,2020,2,744101,11868,48293323.21851964,TOTAL
91,Andaman & Nicobar,2020,2,744103,10035,26197535.98945152,TOTAL
92,Andaman & Nicobar,2020,2,744105,9341,23203019.858980607,TOTAL
93,Andaman & Nicobar,2020,2,744102,6012,17786750.907515876,TOTAL
94,Andaman & Nicobar,2020,2,744202,3722,8924121.010762567,TOTAL
95,Andaman & Nicobar,2020,2,744107,2555,3980470.6853698147,TOTAL
96,Andaman & Nicobar,2020,2,744301,2275,9055232.527755566,TOTAL
97,Andaman & Nicobar,2020,2,744211,2045,3319717.6328789736,TOTAL
98,Andaman & Nicobar,2020,2,744205,1847,4459064.90732021,TOTAL
99,Andaman & Nicobar,2020,2,744104,1840,3334591.822304932,TOTAL
100,Andaman & Nicobar,2020,3,744101,24386,100439119.66860783,TOTAL
101,Andaman & Nicobar,2020,3,744103,21272,60332278.69396809,TOTAL
102,Andaman & Nicobar,2020,3,744105,17166,44061506.56273589,TOTAL
103,Andaman & Nicobar,2020,3,744102,13934,43077189.842844136,TOTAL
104,Andaman & Nicobar,2020,3,744202,5779,11975748.707876923,TOTAL
105,Andaman & Nicobar,2020,3,744107,4753,7628018.669464628,TOTAL
106,Andaman & Nicobar,2020,3,744104,3468,7353834.51320935,TOTAL
107,Andaman & Nicobar,2020,3,744112,3422,6067986.696111794,TOTAL
108,Andaman & Nicobar,2020,3,744301,3071,13352610.531559702,TOTAL
109,Andaman & Nicobar,2020,3,744205,2991,7535645.788593667,TOTAL
110,Andaman & Nicobar,2020,4,744103,46884,138264791.5489212,TOTAL
111,Andaman & Nicobar,2020,4,744101,40392,136401368.02166596,TOTAL
112,Andaman & Nicobar,2020,4,744105,34410,87838226.93633425,TOTAL
113,Andaman & Nicobar,2020,4,744102,26694,76348598.32238364,TOTAL
114,Andaman & Nicobar,2020,4,744202,10949,25543799.074759968,TOTAL
115,Andaman & Nicobar,2020,4,744107,9743,18083250.19055397,TOTAL
116,Andaman & Nicobar,2020,4,744104,7654,19126095.533284884,TOTAL
117,Andaman & Nicobar,2020,4,744112,7016,15890275.050448488,TOTAL
118,Andaman & Nicobar,2020,4,744205,5118,12002695.281042248,TOTAL
119,Andaman & Nicobar,2020,4,744201,5011,6777275.536669218,TOTAL
120,Andaman & Nicobar,2021,1,744101,55726,190830957.0606181,TOTAL
121,Andaman & Nicobar,2021,1,744103,47328,158404100.7854989,TOTAL
122,Andaman & Nicobar,2021,1,744105,35467,111571687.43195169,TOTAL
123,Andaman & Nicobar,2021,1,744102,23957,80750048.8238959,TOTAL
124,Andaman & Nicobar,2021,1,744211,10648,34956327.94105429,TOTAL
125,Andaman & Nicobar,2021,1,744202,10597,28127629.877961583,TOTAL
126,Andaman & Nicobar,2021,1,744107,8848,19627951.469969153,TOTAL
127,Andaman & Nicobar,2021,1,744104,8799,27854306.51949638,TOTAL
128,Andaman & Nicobar,2021,1,744112,7113,21084790.0528014,TOTAL
129,Andaman & Nicobar,2021,1,744301,5630,22671937.31314759,TOTAL
130,Andaman & Nicobar,2021,2,744101,73334,227585492.7414593,TOTAL
131,Andaman & Nicobar,2021,2,744103,66321,174752815.1688521,TOTAL
132,Andaman & Nicobar,2021,2,744105,52645,134835744.22049245,TOTAL
133,Andaman & Nicobar,2021,2,744102,34289,100890426.76234055,TOTAL
134,Andaman & Nicobar,2021,2,744202,16476,40647907.96960775,TOTAL
135,Andaman & Nicobar,2021,2,744107,14524,24690581.539094776,TOTAL
136,Andaman & Nicobar,2021,2,744104,11278,28333852.06159348,TOTAL
137,Andaman & Nicobar,2021,2,744211,10182,20377949.346094526,TOTAL
138,Andaman & Nicobar,2021,2,744112,9635,21637658.167199604,TOTAL
139,Andaman & Nicobar,2021,2,744301,8463,27666837.39688266,TOTAL
140,Andaman & Nicobar,2021,3,744101,116324,388328168.7639693,TOTAL
141,Andaman & Nicobar,2021,3,744103,84790,246433385.80990067,TOTAL
142,Andaman & Nicobar,2021,3,744105,67257,185238368.4767078,TOTAL
143,Andaman & Nicobar,2021,3,744102,43850,131239564.16909727,TOTAL
144,Andaman & Nicobar,2021,3,744202,19088,48475163.574293144,TOTAL
145,Andaman & Nicobar,2021,3,744107,16203,37962312.09641009,TOTAL
146,Andaman & Nicobar,2021,3,744104,14657,35301326.114471875,TOTAL
147,Andaman & Nicobar,2021,3,744112,11565,28491553.61094001,TOTAL
148,Andaman & Nicobar,2021,3,744301,11553,43464511.051198,TOTAL
149,Andaman & Nicobar,2021,3,744211,9655,19497765.257140517,TOTAL
150,Andaman & Nicobar,2021,4,744101,165719,533026207.9731797,TOTAL
151,Andaman & Nicobar,2021,4,744103,121613,372243734.27985656,TOTAL
152,Andaman & Nicobar,2021,4,744105,95028,281223411.7435058,TOTAL
153,Andaman & Nicobar,2021,4,744102,58258,174623253.47653326,TOTAL
154,Andaman & Nicobar,2021,4,744211,27938,94222862.10725296,TOTAL
155,Andaman & Nicobar,2021,4,744104,25662,69245386.0816525,TOTAL
156,Andaman & Nicobar,2021,4,744202,21913,67790798.04849821,TOTAL
157,Andaman & Nicobar,2021,4,744107,21397,52036029.9980372,TOTAL
158,Andaman & Nicobar,2021,4,744112,18915,55448543.43365714,TOTAL
159,Andaman & Nicobar,2021,4,744301,14553,47792330.70050094,TOTAL
160,Andaman & Nicobar,2022,1,744101,209941,615978080.6944855,TOTAL
161,Andaman & Nicobar,2022,1,744103,157230,399715980.1391735,TOTAL
162,Andaman & Nicobar,2022,1,744105,122716,321850608.7396423,TOTAL
163,Andaman & Nicobar,2022,1,744102,74883,193336549.94178736,TOTAL
164,Andaman & Nicobar,2022,1,744104,32471,72915521.83614868,TOTAL
165,Andaman & Nicobar,2022,1,744211,30272,86955570.58655271,TOTAL
166,Andaman & Nicobar,2022,1,744107,25379,58776727.62636636,TOTAL
167,Andaman & Nicobar,2022,1,744202,24022,68519268.77643085,TOTAL
168,Andaman & Nicobar,2022,1,744112,23471,55469783.6622991,TOTAL
169,Andaman & Nicobar,2022,1,744301,17630,56879992.28461884,TOTAL
170,Andaman & Nicobar,2022,2,744101,252722,702122365.3629664,TOTAL
171,Andaman & Nicobar,2022,2,744103,230746,561168775.5622396,TOTAL
172,Andaman & Nicobar,2022,2,744105,176252,415796516.6034926,TOTAL
173,Andaman & Nicobar,2022,2,744102,101551,240451609.192299,TOTAL
174,Andaman & Nicobar,2022,2,744104,47069,94335358.34017953,TOTAL
175,Andaman & Nicobar,2022,2,744211,40245,108788594.62847154,TOTAL
176,Andaman & Nicobar,2022,2,744107,36402,82851064.58195859,TOTAL
177,Andaman & Nicobar,2022,2,744112,32548,70178309.12885833,TOTAL
