,State,Year,Quarter,District,Reg_Users
106,Andhra Pradesh,2019,1,kurnool,599422
107,Andhra Pradesh,2019,1,west godavari,523372
108,Andhra Pradesh,2019,1,spsr nellore,491908
109,Andhra Pradesh,2019,1,prakasam,474260
110,Andhra Pradesh,2019,2,visakhapatnam,1318740
111,Andhra Pradesh,2019,2,krishna,952300
112,Andhra Pradesh,2019,2,east godavari,945181
113,Andhra Pradesh,2019,2,chittoor,925491
114,Andhra Pradesh,2019,2,guntur,915256
115,Andhra Pradesh,2019,2,anantapur,695114
116,Andhra Pradesh,2019,2,kurnool,680118
117,Andhra Pradesh,2019,2,west godavari,592185
118,Andhra Pradesh,2019,2,spsr nellore,558303
119,Andhra Pradesh,2019,2,prakasam,539462
120,Andhra Pradesh,2019,3,visakhapatnam,1460464
121,Andhra Pradesh,2019,3,krishna,1066546
122,Andhra Pradesh,2019,3,east godavari,1057167
123,Andhra Pradesh,2019,3,chittoor,1032733
124,Andhra Pradesh,2019,3,guntur,1026418
125,Andhra Pradesh,2019,3,anantapur,773656
126,Andhra Pradesh,2019,3,kurnool,755024
127,Andhra Pradesh,2019,3,west godavari,662102
128,Andhra Pradesh,2019,3,spsr nellore,619592
129,Andhra Pradesh,2019,3,prakasam,598568
130,Andhra Pradesh,2019,4,visakhapatnam,1620235
131,Andhra Pradesh,2019,4,krishna,1199971
132,Andhra Pradesh,2019,4,east godavari,1195228
133,Andhra Pradesh,2019,4,guntur,1158708
134,Andhra Pradesh,2019,4,chittoor,1156351
135,Andhra Pradesh,2019,4,anantapur,873033
136,Andhra Pradesh,2019,4,kurnool,846885
137,Andhra Pradesh,2019,4,west godavari,750078
138,Andhra Pradesh,2019,4,spsr nellore,697154
139,Andhra Pradesh,2019,4,prakasam,673522
140,Andhra Pradesh,2020,1,visakhapatnam,1763581
141,Andhra Pradesh,2020,1,krishna,1331602
142,Andhra Pradesh,2020,1,east godavari,1329664
143,Andhra Pradesh,2020,1,guntur,1289678
144,Andhra Pradesh,2020,1,chittoor,1270907
145,Andhra Pradesh,2020,1,anantapur,971850
146,Andhra Pradesh,2020,1,kurnool,936293
147,Andhra Pradesh,2020,1,west godavari,843835
148,Andhra Pradesh,2020,1,spsr nellore,775440
149,Andhra Pradesh,2020,1,prakasam,748655
150,Andhra Pradesh,2020,2,visakhapatnam,1904719
151,Andhra Pradesh,2020,2,east godavari,1459116
152,Andhra Pradesh,2020,2,krishna,1459041
153,Andhra Pradesh,2020,2,guntur,1426271
154,Andhra Pradesh,2020,2,chittoor,1385916
155,Andhra Pradesh,2020,2,anantapur,1076953
156,Andhra Pradesh,2020,2,kurnool,1035093
157,Andhra Pradesh,2020,2,west godavari,944829
158,Andhra Pradesh,2020,2,spsr nellore,854459
159,Andhra Pradesh,2020,2,prakasam,830709
160,Andhra Pradesh,2020,3,visakhapatnam,2058346
161,Andhra Pradesh,2020,3,east godavari,1601940
162,Andhra Pradesh,2020,3,krishna,1599289
163,Andhra Pradesh,2020,3,guntur,1567595
164,Andhra Pradesh,2020,3,chittoor,1506503
165,Andhra Pradesh,2020,3,anantapur,1186851
166,Andhra Pradesh,2020,3,kurnool,1132240
167,Andhra Pradesh,2020,3,west godavari,1053674
168,Andhra Pradesh,2020,3,spsr nellore,937176
169,Andhra Pradesh,2020,3,prakasam,915240
170,Andhra Pradesh,2020,4,visakhapatnam,2209658
171,Andhra Pradesh,2020,4,east godavari,1746280
172,Andhra Pradesh,2020,4,krishna,1744028
173,Andhra Pradesh,2020,4,guntur,1712940
174,Andhra Pradesh,2020,4,chittoor,1631331
175,Andhra Pradesh,2020,4,anantapur,1295872
176,Andhra Pradesh,2020,4,kurnool,1230466
177,Andhra Pradesh,2020,4,west godavari,1163179
178,Andhra Pradesh,2020,4,spsr nellore,1022944
179,Andhra Pradesh,2020,4,prakasam,999462
180,Andhra Pradesh,2021,1,visakhapatnam,2368081
181,Andhra Pradesh,2021,1,east godavari,1878769
182,Andhra Pradesh,2021,1,krishna,1876458
183,Andhra Pradesh,2021,1,guntur,1843237
184,Andhra Pradesh,2021,1,chittoor,1751420
185,Andhra Pradesh,2021,1,anantapur,1394849
186,Andhra Pradesh,2021,1,kurnool,1323411
187,Andhra Pradesh,2021,1,west godavari,1254117
188,Andhra Pradesh,2021,1,spsr nellore,1100541
189,Andhra Pradesh,2021,1,prakasam,1075936
190,Andhra Pradesh,2021,2,visakhapatnam,2526830
191,Andhra Pradesh,2021,2,east godavari,2006272
192,Andhra Pradesh,2021,2,krishna,2002662
193,Andhra Pradesh,2021,2,guntur,1968681
194,Andhra Pradesh,2021,2,chittoor,1870723
195,Andhra Pradesh,2021,2,anantapur,1492738
196,Andhra Pradesh,2021,2,kurnool,1415585
197,Andhra Pradesh,2021,2,west godavari,1339377
198,Andhra Pradesh,2021,2,spsr nellore,1176334
199,Andhra Pradesh,2021,2,prakasam,1151232
200,Andhra Pradesh,2021,3,visakhapatnam,2707931
201,Andhra Pradesh,2021,3,east godavari,2150622
202,Andhra Pradesh,2021,3,krishna,2145423
203,Andhra Pradesh,2021,3,guntur,2110878
204,Andhra Pradesh,2021,3,chittoor,2007011
205,Andhra Pradesh,2021,3,anantapur,1606735
206,Andhra Pradesh,2021,3,kurnool,1522196
207,Andhra Pradesh,2021,3,west godavari,1436576
208,Andhra Pradesh,2021,3,spsr nellore,1263550
209,Andhra Pradesh,2021,3,prakasam,1239147
210,Andhra Pradesh,2021,4,visakhapatnam,2888774
211,Andhra Pradesh,2021,4,east godavari,2294347
212,Andhra Pradesh,2021,4,krishna,2288148
213,Andhra Pradesh,2021,4,guntur,2252443
214,Andhra Pradesh,2021,4,chittoor,2141818
215,Andhra Pradesh,2021,4,anantapur,1719437
216,Andhra Pradesh,2021,4,kurnool,1628242
217,Andhra Pradesh,2021,4,west godavari,1532898
218,Andhra Pradesh,2021,4,spsr nellore,1349290
219,Andhra Pradesh,2021,4,prakasam,1325728
220,Andhra Pradesh,2022,1,visakhapatnam,3061324
221,Andhra Pradesh,2022,1,east godavari,2432305
222,Andhra Pradesh,2022,1,krishna,2423373
223,Andhra Pradesh,2022,1,guntur,2387051
224,Andhra Pradesh,2022,1,chittoor,2270705
225,Andhra Pradesh,2022,1,anantapur,1827094
226,Andhra Pradesh,2022,1,kurnool,1729513
227,Andhra Pradesh,2022,1,west godavari,1626039
228,Andhra Pradesh,2022,1,spsr nellore,1431664
229,Andhra Pradesh,2022,1,prakasam,1408929
230,Andhra Pradesh,2022,2,visakhapatnam,3226029
231,Andhra Pradesh,2022,2,east godavari,2564165
232,Andhra Pradesh,2022,2,krishna,2552107
233,Andhra Pradesh,2022,2,guntur,2514794
234,Andhra Pradesh,2022,2,chittoor,2392549
235,Andhra Pradesh,2022,2,anantapur,1928213
236,Andhra Pradesh,2022,2,kurnool,1825280
237,Andhra Pradesh,2022,2,west godavari,1714357
238,Andhra Pradesh,2022,2,spsr nellore,1509927
239,Andhra Pradesh,2022,2,prakasam,1487589
240,Andhra Pradesh,2022,3,visakhapatnam,3397514
241,Andhra Pradesh,2022,3,east godavari,2702234
