,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_type
46,Andaman & Nicobar,2021,4,south andaman district,558571,1694794708.0093334,TOTAL
47,Andaman & Nicobar,2021,4,nicobars district,24437,81329281.0269996,TOTAL
48,Andaman & Nicobar,2022,1,north and middle andaman district,60059,161624878.52274162,TOTAL
49,Andaman & Nicobar,2022,1,south andaman district,705512,1872991195.902684,TOTAL
50,Andaman & Nicobar,2022,1,nicobars district,29177,94414127.64974089,TOTAL
51,Andaman & Nicobar,2022,2,north and middle andaman district,72573,195693167.78757268,TOTAL
52,Andaman & Nicobar,2022,2,south andaman district,954875,2357326563.362071,TOTAL
53,Andaman & Nicobar,2022,2,nicobars district,43769,132900618.93062323,TOTAL
54,Andaman & Nicobar,2022,3,north and middle andaman district,79574,211581970.34202656,TOTAL
55,Andaman & Nicobar,2022,3,south andaman district,1455255,2967719400.849909,TOTAL
56,Andaman & Nicobar,2022,3,nicobars district,49550,131330400.94545083,TOTAL
57,Andaman & Nicobar,2022,4,north and middle andaman district,93297,241431284.3558103,TOTAL
58,Andaman & Nicobar,2022,4,south andaman district,1835592,3600887266.099448,TOTAL
59,Andaman & Nicobar,2022,4,nicobars district,58646,142355853.97352526,TOTAL
60,Andhra Pradesh,2018,1,east godavari district,943935,1235785515.5997267,TOTAL
61,Andhra Pradesh,2018,1,srikakulam district,458921,587778028.9183557,TOTAL
62,Andhra Pradesh,2018,1,spsr nellore district,531612,676643237.8069417,TOTAL
63,Andhra Pradesh,2018,1,vizianagaram district,420990,505783445.78162,TOTAL
64,Andhra Pradesh,2018,1,visakhapatnam district,1256469,1749966196.5049946,TOTAL
65,Andhra Pradesh,2018,1,prakasam district,534757,748990775.8676485,TOTAL
66,Andhra Pradesh,2018,1,anantapur district,638664,788830646.0324218,TOTAL
67,Andhra Pradesh,2018,1,ysr district,487333,681481931.0936775,TOTAL
68,Andhra Pradesh,2018,1,west godavari district,577090,853547668.7532666,TOTAL
69,Andhra Pradesh,2018,1,kurnool district,679623,764905298.7350456,TOTAL
70,Andhra Pradesh,2018,1,chittoor district,830324,1009621878.0870512,TOTAL
71,Andhra Pradesh,2018,1,guntur district,815932,1108686589.0266829,TOTAL
72,Andhra Pradesh,2018,1,krishna district,863935,1284255179.6156201,TOTAL
73,Andhra Pradesh,2018,2,east godavari district,1221677,2168914928.4239016,TOTAL
74,Andhra Pradesh,2018,2,srikakulam district,559868,929392017.3670053,TOTAL
75,Andhra Pradesh,2018,2,spsr nellore district,780454,1542057934.0108962,TOTAL
76,Andhra Pradesh,2018,2,vizianagaram district,529588,811711367.5080048,TOTAL
77,Andhra Pradesh,2018,2,visakhapatnam district,1641192,2987853607.2939095,TOTAL
78,Andhra Pradesh,2018,2,prakasam district,739991,1571167562.1276276,TOTAL
79,Andhra Pradesh,2018,2,anantapur district,937023,1690366079.0557928,TOTAL
80,Andhra Pradesh,2018,2,ysr district,690842,1415500367.6861844,TOTAL
81,Andhra Pradesh,2018,2,west godavari district,786033,1688025212.3045945,TOTAL
82,Andhra Pradesh,2018,2,kurnool district,968439,1531888665.6843233,TOTAL
83,Andhra Pradesh,2018,2,chittoor district,1185723,1990419125.8937118,TOTAL
84,Andhra Pradesh,2018,2,guntur district,1088101,2108475811.7859967,TOTAL
85,Andhra Pradesh,2018,2,krishna district,1224987,2448141593.4919834,TOTAL
