,State,Year,Quarter,Payments,Transaction_type,Transaction_count,Transaction_amount
0,Andaman & Nicobar,2018,1,Recharge & bill payments,TOTAL,4200,1845307.4673655091
1,Andaman & Nicobar,2018,1,Peer-to-peer payments,TOTAL,1871,12138655.299749982
2,Andaman & Nicobar,2018,1,Merchant payments,TOTAL,298,452507.168646613
3,Andaman & Nicobar,2018,1,Financial Services,TOTAL,33,10601.419933464953
4,Andaman & Nicobar,2018,1,Others,TOTAL,256,184689.8662902223
5,Andaman & Nicobar,2018,2,Recharge & bill payments,TOTAL,6735,2320944.731074479
6,Andaman & Nicobar,2018,2,Peer-to-peer payments,TOTAL,3575,24511925.231047668
7,Andaman & Nicobar,2018,2,Merchant payments,TOTAL,603,1024491.0133579008
8,Andaman & Nicobar,2018,2,Financial Services,TOTAL,59,121336.0270987509
9,Andaman & Nicobar,2018,2,Others,TOTAL,368,359838.50537474576
10,Andaman & Nicobar,2018,3,Recharge & bill payments,TOTAL,8636,4343504.868377829
11,Andaman & Nicobar,2018,3,Peer-to-peer payments,TOTAL,6448,49270781.541635044
12,Andaman & Nicobar,2018,3,Merchant payments,TOTAL,945,1627359.8394868043
13,Andaman & Nicobar,2018,3,Financial Services,TOTAL,42,1481.4907042806485
14,Andaman & Nicobar,2018,3,Others,TOTAL,194,314343.39410715323
15,Andaman & Nicobar,2018,4,Recharge & bill payments,TOTAL,11517,5450549.512294375
16,Andaman & Nicobar,2018,4,Peer-to-peer payments,TOTAL,10451,81001456.97825177
17,Andaman & Nicobar,2018,4,Merchant payments,TOTAL,1421,3552027.735492656
18,Andaman & Nicobar,2018,4,Financial Services,TOTAL,29,76035.7877393286
19,Andaman & Nicobar,2018,4,Others,TOTAL,340,468266.0606770435
20,Andaman & Nicobar,2019,1,Recharge & bill payments,TOTAL,15263,6611459.8729725825
21,Andaman & Nicobar,2019,1,Peer-to-peer payments,TOTAL,13119,91808345.86839552
22,Andaman & Nicobar,2019,1,Merchant payments,TOTAL,1759,3266589.8469614363
23,Andaman & Nicobar,2019,1,Financial Services,TOTAL,62,116250.43671861099
24,Andaman & Nicobar,2019,1,Others,TOTAL,283,497094.6484417205
25,Andaman & Nicobar,2019,2,Recharge & bill payments,TOTAL,14676,7242448.256212333
26,Andaman & Nicobar,2019,2,Peer-to-peer payments,TOTAL,14481,107525358.66652842
27,Andaman & Nicobar,2019,2,Merchant payments,TOTAL,4031,4702152.616619372
28,Andaman & Nicobar,2019,2,Financial Services,TOTAL,124,113278.91371326067
29,Andaman & Nicobar,2019,2,Others,TOTAL,377,671471.222589792
30,Andaman & Nicobar,2019,3,Recharge & bill payments,TOTAL,16219,8171737.705916681
31,Andaman & Nicobar,2019,3,Peer-to-peer payments,TOTAL,13767,101079821.10344616
32,Andaman & Nicobar,2019,3,Merchant payments,TOTAL,3519,4428734.574846684
33,Andaman & Nicobar,2019,3,Financial Services,TOTAL,50,158857.94315586874
34,Andaman & Nicobar,2019,3,Others,TOTAL,215,232624.75992853564
35,Andaman & Nicobar,2019,4,Peer-to-peer payments,TOTAL,18128,121493224.30754511
36,Andaman & Nicobar,2019,4,Recharge & bill payments,TOTAL,13851,9538690.916424634
37,Andaman & Nicobar,2019,4,Merchant payments,TOTAL,2920,5247500.487902376
38,Andaman & Nicobar,2019,4,Financial Services,TOTAL,60,295937.2110898865
39,Andaman & Nicobar,2019,4,Others,TOTAL,200,263177.5944158883
40,Andaman & Nicobar,2020,1,Peer-to-peer payments,TOTAL,18324,142332401.79234773
41,Andaman & Nicobar,2020,1,Recharge & bill payments,TOTAL,18268,10850414.023977457
42,Andaman & Nicobar,2020,1,Merchant payments,TOTAL,4424,7752871.558217709
43,Andaman & Nicobar,2020,1,Financial Services,TOTAL,66,208231.73071652642
44,Andaman & Nicobar,2020,1,Others,TOTAL,216,332393.19201521645
45,Andaman & Nicobar,2020,2,Recharge & bill payments,TOTAL,38125,17659622.73418829
46,Andaman & Nicobar,2020,2,Peer-to-peer payments,TOTAL,20303,141728757.73517442
47,Andaman & Nicobar,2020,2,Merchant payments,TOTAL,4004,9236375.740471343
48,Andaman & Nicobar,2020,2,Financial Services,TOTAL,175,706932.1397115812
49,Andaman & Nicobar,2020,2,Others,TOTAL,355,313313.0646014327
50,Andaman & Nicobar,2020,3,Recharge & bill payments,TOTAL,59310,24756220.875469353
51,Andaman & Nicobar,2020,3,Peer-to-peer payments,TOTAL,40697,289078946.7312394
52,Andaman & Nicobar,2020,3,Merchant payments,TOTAL,16096,22682992.238478824
53,Andaman & Nicobar,2020,3,Financial Services,TOTAL,572,961836.7129860274
54,Andaman & Nicobar,2020,3,Others,TOTAL,808,539449.7721868362
55,Andaman & Nicobar,2020,4,Peer-to-peer payments,TOTAL,81439,533316526.1814983
56,Andaman & Nicobar,2020,4,Recharge & bill payments,TOTAL,80811,33710030.534383245
57,Andaman & Nicobar,2020,4,Merchant payments,TOTAL,59391,56867468.940003954
58,Andaman & Nicobar,2020,4,Financial Services,TOTAL,965,1880546.9672370641
59,Andaman & Nicobar,2020,4,Others,TOTAL,1925,1508083.6917299272
60,Andaman & Nicobar,2021,1,Peer-to-peer payments,TOTAL,105458,665391395.715478
61,Andaman & Nicobar,2021,1,Recharge & bill payments,TOTAL,84119,37160922.86506996
62,Andaman & Nicobar,2021,1,Merchant payments,TOTAL,53090,78606979.05751458
63,Andaman & Nicobar,2021,1,Financial Services,TOTAL,884,1469351.0852598653
64,Andaman & Nicobar,2021,1,Others,TOTAL,1201,1077918.666433228
65,Andaman & Nicobar,2021,2,Peer-to-peer payments,TOTAL,132772,748382044.7707307
66,Andaman & Nicobar,2021,2,Recharge & bill payments,TOTAL,120911,43691961.26275121
67,Andaman & Nicobar,2021,2,Merchant payments,TOTAL,85143,103707408.50908463
68,Andaman & Nicobar,2021,2,Financial Services,TOTAL,960,2038521.5136710338
69,Andaman & Nicobar,2021,2,Others,TOTAL,1628,1327080.0560584562
70,Andaman & Nicobar,2021,3,Peer-to-peer payments,TOTAL,192321,1077787837.1562996
71,Andaman & Nicobar,2021,3,Recharge & bill payments,TOTAL,136010,51243450.85925055
