,State,Year,Quarter,District,Reg_Users,App_Opens
0,Andaman & Nicobar,2018,1,north and middle andaman district,632,0
1,Andaman & Nicobar,2018,1,south andaman district,5846,0
2,Andaman & Nicobar,2018,1,nicobars district,262,0
3,Andaman & Nicobar,2018,2,north and middle andaman district,911,0
4,Andaman & Nicobar,2018,2,south andaman district,8143,0
5,Andaman & Nicobar,2018,2,nicobars district,351,0
6,Andaman & Nicobar,2018,3,north and middle andaman district,1208,0
7,Andaman & Nicobar,2018,3,south andaman district,10474,0
8,Andaman & Nicobar,2018,3,nicobars district,467,0
9,Andaman & Nicobar,2018,4,north and middle andaman district,1553,0
10,Andaman & Nicobar,2018,4,south andaman district,13133,0
11,Andaman & Nicobar,2018,4,nicobars district,536,0
12,Andaman & Nicobar,2019,1,north and middle andaman district,2013,0
13,Andaman & Nicobar,2019,1,south andaman district,15961,0
14,Andaman & Nicobar,2019,1,nicobars district,622,0
15,Andaman & Nicobar,2019,2,north and middle andaman district,2417,6118
16,Andaman & Nicobar,2019,2,south andaman district,18621,43569
17,Andaman & Nicobar,2019,2,nicobars district,693,2953
18,Andaman & Nicobar,2019,3,north and middle andaman district,2662,22064
19,Andaman & Nicobar,2019,3,south andaman district,20518,138190
20,Andaman & Nicobar,2019,3,nicobars district,751,10853
21,Andaman & Nicobar,2019,4,north and middle andaman district,2955,26253
22,Andaman & Nicobar,2019,4,south andaman district,22202,139646
23,Andaman & Nicobar,2019,4,nicobars district,803,11113
24,Andaman & Nicobar,2020,1,north and middle andaman district,3315,30444
25,Andaman & Nicobar,2020,1,south andaman district,24174,151529
26,Andaman & Nicobar,2020,1,nicobars district,879,11613
27,Andaman & Nicobar,2020,2,north and middle andaman district,4100,56992
28,Andaman & Nicobar,2020,2,south andaman district,27626,231071
29,Andaman & Nicobar,2020,2,nicobars district,984,17009
30,Andaman & Nicobar,2020,3,north and middle andaman district,5355,76553
31,Andaman & Nicobar,2020,3,south andaman district,34833,417785
32,Andaman & Nicobar,2020,3,nicobars district,1147,21227
33,Andaman & Nicobar,2020,4,north and middle andaman district,7076,125915
34,Andaman & Nicobar,2020,4,south andaman district,43908,725321
35,Andaman & Nicobar,2020,4,nicobars district,1412,35972
36,Andaman & Nicobar,2021,1,north and middle andaman district,7833,121680
37,Andaman & Nicobar,2021,1,south andaman district,48352,837589
38,Andaman & Nicobar,2021,1,nicobars district,1573,45067
39,Andaman & Nicobar,2021,2,north and middle andaman district,8493,596182
40,Andaman & Nicobar,2021,2,south andaman district,51903,1270226
41,Andaman & Nicobar,2021,2,nicobars district,1699,381815
42,Andaman & Nicobar,2021,3,north and middle andaman district,9263,759314
43,Andaman & Nicobar,2021,3,south andaman district,55873,1771107
44,Andaman & Nicobar,2021,3,nicobars district,1846,591204
45,Andaman & Nicobar,2021,4,north and middle andaman district,10002,171921
46,Andaman & Nicobar,2021,4,south andaman district,59807,1863037
47,Andaman & Nicobar,2021,4,nicobars district,1971,77952
48,Andaman & Nicobar,2022,1,north and middle andaman district,10720,904869
49,Andaman & Nicobar,2022,1,south andaman district,63487,2368756
50,Andaman & Nicobar,2022,1,nicobars district,2081,573782
51,Andaman & Nicobar,2022,2,north and middle andaman district,11379,963824
52,Andaman & Nicobar,2022,2,south andaman district,66959,3404740
53,Andaman & Nicobar,2022,2,nicobars district,2192,811449
54,Andaman & Nicobar,2022,3,north and middle andaman district,11897,1176567
55,Andaman & Nicobar,2022,3,south andaman district,70445,3607286
56,Andaman & Nicobar,2022,3,nicobars district,2300,1284501
57,Andaman & Nicobar,2022,4,north and middle andaman district,12361,313502
58,Andaman & Nicobar,2022,4,south andaman district,73692,3881359
59,Andaman & Nicobar,2022,4,nicobars district,2389,159232
60,Andhra Pradesh,2018,1,east godavari district,350356,0
61,Andhra Pradesh,2018,1,srikakulam district,143839,0
62,Andhra Pradesh,2018,1,visakhapatnam district,497187,0
63,Andhra Pradesh,2018,1,prakasam district,189949,0
64,Andhra Pradesh,2018,1,anantapur district,241192,0
65,Andhra Pradesh,2018,1,kurnool district,240133,0
66,Andhra Pradesh,2018,1,guntur district,317065,0
67,Andhra Pradesh,2018,1,krishna district,323673,0
68,Andhra Pradesh,2018,1,spsr nellore district,194475,0
69,Andhra Pradesh,2018,1,vizianagaram district,128905,0
70,Andhra Pradesh,2018,1,ysr district,186800,0
71,Andhra Pradesh,2018,1,west godavari district,213335,0
72,Andhra Pradesh,2018,1,chittoor district,309541,0
73,Andhra Pradesh,2018,2,east godavari district,454398,0
74,Andhra Pradesh,2018,2,srikakulam district,186913,0
75,Andhra Pradesh,2018,2,visakhapatnam district,636052,0
76,Andhra Pradesh,2018,2,prakasam district,253458,0
77,Andhra Pradesh,2018,2,anantapur district,326383,0
78,Andhra Pradesh,2018,2,kurnool district,319313,0
79,Andhra Pradesh,2018,2,guntur district,420326,0
80,Andhra Pradesh,2018,2,krishna district,431965,0
81,Andhra Pradesh,2018,2,spsr nellore district,261049,0
82,Andhra Pradesh,2018,2,vizianagaram district,167327,0
83,Andhra Pradesh,2018,2,ysr district,248657,0
84,Andhra Pradesh,2018,2,west godavari district,282393,0
85,Andhra Pradesh,2018,2,chittoor district,414306,0
86,Andhra Pradesh,2018,3,east godavari district,558982,0
87,Andhra Pradesh,2018,3,srikakulam district,228456,0
