,State,Year,Quarter,District,Reg_Users,App_Opens
9328,Odisha,2020,3,kendrapara district,249580,7165704
9329,Odisha,2020,3,cuttack district,676102,18393658
9330,Odisha,2020,4,rayagada district,139714,5150470
9331,Odisha,2020,4,koraput district,157029,4690755
9332,Odisha,2020,4,malkangiri district,54166,1432194
9333,Odisha,2020,4,sambalpur district,238826,6917790
9334,Odisha,2020,4,kalahandi district,196340,5296877
9335,Odisha,2020,4,anugul district,293242,8883260
9336,Odisha,2020,4,ganjam district,669973,21285202
9337,Odisha,2020,4,jajapur district,451339,15145332
9338,Odisha,2020,4,bargarh district,202272,4624350
9339,Odisha,2020,4,dhenkanal district,236599,7290490
9340,Odisha,2020,4,bhadrak district,342034,10037935
9341,Odisha,2020,4,nuapada district,66020,1553389
9342,Odisha,2020,4,kendujhar district,328498,10002591
9343,Odisha,2020,4,mayurbhanj district,295929,7049868
9344,Odisha,2020,4,jharsuguda district,166109,5191792
9345,Odisha,2020,4,kandhamal district,77202,2083608
9346,Odisha,2020,4,deogarh district,34813,953637
9347,Odisha,2020,4,sundargarh district,418311,11577951
9348,Odisha,2020,4,jagatsinghapur district,280051,8638789
9349,Odisha,2020,4,balangir district,221229,5584366
9350,Odisha,2020,4,baleshwar district,520429,13732431
9351,Odisha,2020,4,puri district,402457,12511428
9352,Odisha,2020,4,sonepur district,88176,2109317
9353,Odisha,2020,4,khordha district,1323794,53302329
9354,Odisha,2020,4,boudh district,54203,1368082
9355,Odisha,2020,4,gajapati district,69150,2495923
9356,Odisha,2020,4,nayagarh district,184916,5735089
9357,Odisha,2020,4,nabarangpur district,79855,2148731
9358,Odisha,2020,4,kendrapara district,273289,8654637
9359,Odisha,2020,4,cuttack district,732786,24636680
9360,Odisha,2021,1,rayagada district,150744,5877848
9361,Odisha,2021,1,koraput district,169607,5295303
9362,Odisha,2021,1,malkangiri district,59019,1655456
9363,Odisha,2021,1,sambalpur district,256784,8185242
9364,Odisha,2021,1,kalahandi district,211780,6105047
9365,Odisha,2021,1,anugul district,315065,9789441
9366,Odisha,2021,1,ganjam district,721311,22659997
9367,Odisha,2021,1,jajapur district,484003,16338718
9368,Odisha,2021,1,bargarh district,217540,5256946
9369,Odisha,2021,1,dhenkanal district,253469,8034030
9370,Odisha,2021,1,bhadrak district,366825,10503983
9371,Odisha,2021,1,nuapada district,71558,1824578
9372,Odisha,2021,1,kendujhar district,352967,10953093
9373,Odisha,2021,1,mayurbhanj district,318465,7758426
9374,Odisha,2021,1,jharsuguda district,178481,5914718
9375,Odisha,2021,1,kandhamal district,83432,2180242
9376,Odisha,2021,1,deogarh district,37397,1031539
