,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_Type
1085,Dadara & Nagar Havelli & Daman & Diu,2018,2,diu,6279,10736607.177110624,TOTAL
1086,Dadara & Nagar Havelli & Daman & Diu,2018,3,dadra and nagar haveli,177851,273261425.21412045,TOTAL
1087,Dadara & Nagar Havelli & Daman & Diu,2018,3,daman,104637,160593811.8079571,TOTAL
1088,Dadara & Nagar Havelli & Daman & Diu,2018,3,diu,7087,13784358.656098008,TOTAL
1089,Dadara & Nagar Havelli & Daman & Diu,2018,4,dadra and nagar haveli,247575,399434283.41724634,TOTAL
1090,Dadara & Nagar Havelli & Daman & Diu,2018,4,daman,147005,240064159.060293,TOTAL
1091,Dadara & Nagar Havelli & Daman & Diu,2018,4,diu,9502,19252174.323347375,TOTAL
1092,Dadara & Nagar Havelli & Daman & Diu,2019,1,dadra and nagar haveli,386213,505553450.4985651,TOTAL
1093,Dadara & Nagar Havelli & Daman & Diu,2019,1,daman,259564,315877185.53074825,TOTAL
1094,Dadara & Nagar Havelli & Daman & Diu,2019,1,diu,16037,21939140.020587962,TOTAL
1095,Dadara & Nagar Havelli & Daman & Diu,2019,2,dadra and nagar haveli,276573,465450284.8957217,TOTAL
1096,Dadara & Nagar Havelli & Daman & Diu,2019,2,daman,183953,303607607.8232254,TOTAL
1097,Dadara & Nagar Havelli & Daman & Diu,2019,2,diu,29130,55383383.84612378,TOTAL
1098,Dadara & Nagar Havelli & Daman & Diu,2019,3,dadra and nagar haveli,385688,579621876.8486073,TOTAL
1099,Dadara & Nagar Havelli & Daman & Diu,2019,3,daman,235860,348909463.4581386,TOTAL
1100,Dadara & Nagar Havelli & Daman & Diu,2019,3,diu,17203,32940133.54162597,TOTAL
1101,Dadara & Nagar Havelli & Daman & Diu,2019,4,dadra and nagar haveli,465412,736360098.0195075,TOTAL
1102,Dadara & Nagar Havelli & Daman & Diu,2019,4,daman,282085,443588793.8632827,TOTAL
1103,Dadara & Nagar Havelli & Daman & Diu,2019,4,diu,21474,46692370.12824968,TOTAL
1104,Dadara & Nagar Havelli & Daman & Diu,2020,1,dadra and nagar haveli,535805,813878312.368383,TOTAL
1105,Dadara & Nagar Havelli & Daman & Diu,2020,1,daman,318808,482278970.26113427,TOTAL
1106,Dadara & Nagar Havelli & Daman & Diu,2020,1,diu,23966,46606086.663000636,TOTAL
1107,Dadara & Nagar Havelli & Daman & Diu,2020,2,dadra and nagar haveli,607115,819008453.120671,TOTAL
1108,Dadara & Nagar Havelli & Daman & Diu,2020,2,daman,342171,440492998.5695746,TOTAL
1109,Dadara & Nagar Havelli & Daman & Diu,2020,2,diu,23866,42875002.19781082,TOTAL
1110,Dadara & Nagar Havelli & Daman & Diu,2020,3,dadra and nagar haveli,735433,1113115462.3887653,TOTAL
1111,Dadara & Nagar Havelli & Daman & Diu,2020,3,daman,376291,584809492.9126781,TOTAL
1112,Dadara & Nagar Havelli & Daman & Diu,2020,3,diu,26588,51864159.697919816,TOTAL
1113,Dadara & Nagar Havelli & Daman & Diu,2020,4,dadra and nagar haveli,1178976,1683480021.6173902,TOTAL
1114,Dadara & Nagar Havelli & Daman & Diu,2020,4,daman,596994,921372876.4402872,TOTAL
1115,Dadara & Nagar Havelli & Daman & Diu,2020,4,diu,41821,95658202.77082601,TOTAL
1116,Dadara & Nagar Havelli & Daman & Diu,2021,1,dadra and nagar haveli,1218428,1825446563.9770944,TOTAL
1117,Dadara & Nagar Havelli & Daman & Diu,2021,1,daman,664208,1043765962.724646,TOTAL
1118,Dadara & Nagar Havelli & Daman & Diu,2021,1,diu,42608,96420384.49176355,TOTAL
1119,Dadara & Nagar Havelli & Daman & Diu,2021,2,dadra and nagar haveli,1350893,1981679666.5277362,TOTAL
1120,Dadara & Nagar Havelli & Daman & Diu,2021,2,daman,733176,1074079574.2247202,TOTAL
1121,Dadara & Nagar Havelli & Daman & Diu,2021,2,diu,41014,101909220.66644716,TOTAL
1122,Dadara & Nagar Havelli & Daman & Diu,2021,3,dadra and nagar haveli,1979522,2673225036.233348,TOTAL
1123,Dadara & Nagar Havelli & Daman & Diu,2021,3,daman,1083689,1475259765.304812,TOTAL
1124,Dadara & Nagar Havelli & Daman & Diu,2021,3,diu,66259,157454301.25334743,TOTAL
1125,Dadara & Nagar Havelli & Daman & Diu,2021,4,dadra and nagar haveli,2651530,3463923579.431045,TOTAL
1126,Dadara & Nagar Havelli & Daman & Diu,2021,4,daman,1417153,1895788566.3308911,TOTAL
1127,Dadara & Nagar Havelli & Daman & Diu,2021,4,diu,88402,206127240.56872404,TOTAL
1128,Dadara & Nagar Havelli & Daman & Diu,2022,1,dadra and nagar haveli,3078173,3954838129.047655,TOTAL
1129,Dadara & Nagar Havelli & Daman & Diu,2022,1,daman,1629797,2068807150.1986508,TOTAL
1130,Dadara & Nagar Havelli & Daman & Diu,2022,1,diu,94833,213403088.016084,TOTAL
1131,Dadara & Nagar Havelli & Daman & Diu,2022,2,dadra and nagar haveli,3705529,4384666145.001483,TOTAL
1132,Dadara & Nagar Havelli & Daman & Diu,2022,2,daman,1923407,2321672075.29422,TOTAL
1133,Dadara & Nagar Havelli & Daman & Diu,2022,2,diu,130835,288821560.5151377,TOTAL
1134,Dadara & Nagar Havelli & Daman & Diu,2022,3,dadra and nagar haveli,3999361,4602085602.265935,TOTAL
1135,Dadara & Nagar Havelli & Daman & Diu,2022,3,daman,2317701,2638822275.269265,TOTAL
1136,Dadara & Nagar Havelli & Daman & Diu,2022,3,diu,148559,279739481.9642375,TOTAL
1137,Dadara & Nagar Havelli & Daman & Diu,2022,4,dadra and nagar haveli,4689855,5134034950.126673,TOTAL
1138,Dadara & Nagar Havelli & Daman & Diu,2022,4,daman,2344860,2629286286.284037,TOTAL
1139,Dadara & Nagar Havelli & Daman & Diu,2022,4,diu,154870,296319509.67041874,TOTAL
1140,NCT of Delhi,2018,1,central delhi,2997714,4312145216.274474,TOTAL
1141,NCT of Delhi,2018,1,new delhi,883737,1478916789.169149,TOTAL
1142,NCT of Delhi,2018,1,south east delhi,562694,929543692.8225484,TOTAL
1143,NCT of Delhi,2018,1,west,545129,966855137.026748,TOTAL
1144,NCT of Delhi,2018,1,north west,387431,614242861.0675646,TOTAL
1145,NCT of Delhi,2018,1,north,361539,574580634.2506722,TOTAL
1146,NCT of Delhi,2018,1,east,357904,594248348.383992,TOTAL
1147,NCT of Delhi,2018,1,south,334361,597143870.4750924,TOTAL
1148,NCT of Delhi,2018,1,south west,318199,555900155.5283471,TOTAL
1149,NCT of Delhi,2018,1,shahdara,193886,326458215.38394874,TOTAL
1150,NCT of Delhi,2018,2,central delhi,3589206,6223466821.0926285,TOTAL
1151,NCT of Delhi,2018,2,new delhi,1177251,2387389846.7443447,TOTAL
1152,NCT of Delhi,2018,2,west,785457,1588935316.1264243,TOTAL
1153,NCT of Delhi,2018,2,south east delhi,767547,1466216713.987477,TOTAL
1154,NCT of Delhi,2018,2,north west,575888,1041767876.9620268,TOTAL
1155,NCT of Delhi,2018,2,north,517958,975252185.7330843,TOTAL
1156,NCT of Delhi,2018,2,south,513003,979271408.8449214,TOTAL
1157,NCT of Delhi,2018,2,east,504193,925784169.7499555,TOTAL
1158,NCT of Delhi,2018,2,south west,440508,903268239.0851493,TOTAL
1159,NCT of Delhi,2018,2,shahdara,272663,533105673.5945449,TOTAL
1160,NCT of Delhi,2018,3,central delhi,8165361,10515884583.426525,TOTAL
1161,NCT of Delhi,2018,3,new delhi,2022950,3481996395.702257,TOTAL
1162,NCT of Delhi,2018,3,west,1402787,2408205061.402441,TOTAL
1163,NCT of Delhi,2018,3,south east delhi,1321135,2190894940.921797,TOTAL
1164,NCT of Delhi,2018,3,north west,1071877,1611349650.512775,TOTAL
1165,NCT of Delhi,2018,3,south,1009436,1501908121.057089,TOTAL
1166,NCT of Delhi,2018,3,east,990369,1384933230.2478726,TOTAL
1167,NCT of Delhi,2018,3,north,955698,1471064055.191176,TOTAL
1168,NCT of Delhi,2018,3,south west,789269,1374843119.5072455,TOTAL
1169,NCT of Delhi,2018,3,shahdara,481819,805520386.5670927,TOTAL
1170,NCT of Delhi,2018,4,central delhi,9373395,13878492766.290386,TOTAL
1171,NCT of Delhi,2018,4,new delhi,3230268,5091082007.824482,TOTAL
1172,NCT of Delhi,2018,4,west,2678986,3650604507.6334457,TOTAL
1173,NCT of Delhi,2018,4,south east delhi,2675009,3473400560.128728,TOTAL
1174,NCT of Delhi,2018,4,north west,2221592,2514145474.579898,TOTAL
1175,NCT of Delhi,2018,4,east,2073615,2113753353.5608745,TOTAL
1176,NCT of Delhi,2018,4,north,1864549,2189129077.3478146,TOTAL
1177,NCT of Delhi,2018,4,south,1769675,2243831444.013054,TOTAL
1178,NCT of Delhi,2018,4,south west,1535302,2165326033.913863,TOTAL
1179,NCT of Delhi,2018,4,shahdara,987533,1305320182.496128,TOTAL
1180,NCT of Delhi,2019,1,central delhi,12885975,16258175800.83931,TOTAL
1181,NCT of Delhi,2019,1,new delhi,10000765,13939472234.96883,TOTAL
1182,NCT of Delhi,2019,1,south east delhi,4177871,4783209115.672518,TOTAL
1183,NCT of Delhi,2019,1,west,3962949,5022146273.196945,TOTAL
1184,NCT of Delhi,2019,1,east,3074036,2994257491.1936464,TOTAL
1185,NCT of Delhi,2019,1,north west,3030848,3421611240.905769,TOTAL
1186,NCT of Delhi,2019,1,south,2571440,2944578121.8940973,TOTAL
1187,NCT of Delhi,2019,1,north,2528129,2919441273.8433604,TOTAL
1188,NCT of Delhi,2019,1,south west,2287011,2903464344.436347,TOTAL
1189,NCT of Delhi,2019,1,shahdara,1402956,1800644587.5922666,TOTAL
1190,NCT of Delhi,2019,2,new delhi,23313548,36146671717.918365,TOTAL
1191,NCT of Delhi,2019,2,central delhi,8821530,12827351677.982723,TOTAL
1192,NCT of Delhi,2019,2,west,4273168,5964570040.981258,TOTAL
1193,NCT of Delhi,2019,2,south east delhi,4093477,5354348696.201298,TOTAL
1194,NCT of Delhi,2019,2,east,3157212,3432947910.8653455,TOTAL
1195,NCT of Delhi,2019,2,north west,3032525,3903083209.051039,TOTAL
1196,NCT of Delhi,2019,2,south,2809313,3393506108.0570455,TOTAL
1197,NCT of Delhi,2019,2,north,2646708,3429942978.9386187,TOTAL
1198,NCT of Delhi,2019,2,south west,2441752,3375124289.347537,TOTAL
1199,NCT of Delhi,2019,2,shahdara,1439856,2125041674.940278,TOTAL
1200,NCT of Delhi,2019,3,new delhi,24687138,43288057341.92169,TOTAL
1201,NCT of Delhi,2019,3,central delhi,10383905,15911065630.894386,TOTAL
1202,NCT of Delhi,2019,3,west,5923192,8122173371.353607,TOTAL
1203,NCT of Delhi,2019,3,south east delhi,5633818,7118731074.594847,TOTAL
1204,NCT of Delhi,2019,3,east,4260289,4563965029.464273,TOTAL
1205,NCT of Delhi,2019,3,south,4067756,4543363283.628731,TOTAL
1206,NCT of Delhi,2019,3,north west,4036365,5327025172.802139,TOTAL
1207,NCT of Delhi,2019,3,north,3597191,4566145276.173758,TOTAL
1208,NCT of Delhi,2019,3,south west,3392924,4564338750.415346,TOTAL
1209,NCT of Delhi,2019,3,shahdara,1929681,2840221012.8598523,TOTAL
1210,NCT of Delhi,2019,4,new delhi,29048107,54398427887.76768,TOTAL
1211,NCT of Delhi,2019,4,central delhi,13130548,21110784970.602043,TOTAL
1212,NCT of Delhi,2019,4,west,6541869,9822841229.050655,TOTAL
1213,NCT of Delhi,2019,4,south east delhi,6387755,8697135102.682934,TOTAL
1214,NCT of Delhi,2019,4,east,4787770,5518543582.019401,TOTAL
1215,NCT of Delhi,2019,4,south,4672501,5360121273.421125,TOTAL
1216,NCT of Delhi,2019,4,north west,4376687,6492920778.373013,TOTAL
1217,NCT of Delhi,2019,4,north,3982235,5440162132.4586935,TOTAL
1218,NCT of Delhi,2019,4,south west,3796919,5538272503.100773,TOTAL
1219,NCT of Delhi,2019,4,shahdara,2149197,3597910765.0530796,TOTAL
1220,NCT of Delhi,2020,1,central delhi,24757650,41219414205.06069,TOTAL
1221,NCT of Delhi,2020,1,new delhi,17899322,34941263526.20205,TOTAL
1222,NCT of Delhi,2020,1,west,6627571,10519670848.51133,TOTAL
1223,NCT of Delhi,2020,1,south east delhi,6523345,9238065831.407085,TOTAL
1224,NCT of Delhi,2020,1,east,4783041,5861493191.072474,TOTAL
1225,NCT of Delhi,2020,1,south,4578729,5702232003.384875,TOTAL
1226,NCT of Delhi,2020,1,north west,4394010,7009463341.814796,TOTAL
1227,NCT of Delhi,2020,1,north,4134350,5959728045.553724,TOTAL
1228,NCT of Delhi,2020,1,south west,3956004,6031191820.22498,TOTAL
1229,NCT of Delhi,2020,1,shahdara,2148023,3847703306.254819,TOTAL
1230,NCT of Delhi,2020,2,central delhi,17641823,30418597739.3527,TOTAL
1231,NCT of Delhi,2020,2,new delhi,13713658,27033383045.67708,TOTAL
1232,NCT of Delhi,2020,2,west,5753319,8981471481.485285,TOTAL
1233,NCT of Delhi,2020,2,south east delhi,5215263,7084670452.703098,TOTAL
1234,NCT of Delhi,2020,2,north west,4270005,6452332763.460186,TOTAL
1235,NCT of Delhi,2020,2,south west,4193591,6168338438.737105,TOTAL
1236,NCT of Delhi,2020,2,east,4005780,5059627017.012638,TOTAL
1237,NCT of Delhi,2020,2,south,3631140,4698622938.32077,TOTAL
1238,NCT of Delhi,2020,2,north,3462809,5258808051.479293,TOTAL
1239,NCT of Delhi,2020,2,north east,2229412,3393429629.3164525,TOTAL
1240,NCT of Delhi,2020,3,central delhi,32203761,61527717933.93762,TOTAL
1241,NCT of Delhi,2020,3,new delhi,17268250,34516772051.491745,TOTAL
1242,NCT of Delhi,2020,3,west,8231034,14963814238.681545,TOTAL
1243,NCT of Delhi,2020,3,south east delhi,7402382,11175362187.684738,TOTAL
1244,NCT of Delhi,2020,3,north west,5785656,10454717366.918316,TOTAL
1245,NCT of Delhi,2020,3,south west,5547370,8927576871.08003,TOTAL
1246,NCT of Delhi,2020,3,east,5054670,7198767026.72743,TOTAL
1247,NCT of Delhi,2020,3,north,4691610,8507808245.57009,TOTAL
1248,NCT of Delhi,2020,3,south,4564631,6503381595.242459,TOTAL
1249,NCT of Delhi,2020,3,north east,2910048,5488227059.169053,TOTAL
1250,NCT of Delhi,2020,4,central delhi,32194168,61575435521.28283,TOTAL
1251,NCT of Delhi,2020,4,new delhi,19719782,37020451053.1837,TOTAL
1252,NCT of Delhi,2020,4,west,12092280,22395396964.83783,TOTAL
1253,NCT of Delhi,2020,4,south east delhi,11414146,17130268130.317047,TOTAL
1254,NCT of Delhi,2020,4,north west,8026101,14953244692.580374,TOTAL
1255,NCT of Delhi,2020,4,south west,7745403,12646111042.466732,TOTAL
1256,NCT of Delhi,2020,4,east,7410660,10725439312.082693,TOTAL
1257,NCT of Delhi,2020,4,south,6797385,9578135719.354939,TOTAL
1258,NCT of Delhi,2020,4,north,6775272,12208521800.583145,TOTAL
1259,NCT of Delhi,2020,4,shahdara,4208254,9392225302.24066,TOTAL
1260,NCT of Delhi,2021,1,central delhi,54173342,90711721159.77658,TOTAL
1261,NCT of Delhi,2021,1,new delhi,31953482,53832767509.43621,TOTAL
1262,NCT of Delhi,2021,1,west,12363374,23133622270.239567,TOTAL
1263,NCT of Delhi,2021,1,south east delhi,12287216,18449868327.686386,TOTAL
1264,NCT of Delhi,2021,1,north west,8024587,15349170514.54198,TOTAL
1265,NCT of Delhi,2021,1,east,7874737,11290580992.027351,TOTAL
1266,NCT of Delhi,2021,1,south west,7721739,12780255587.51034,TOTAL
1267,NCT of Delhi,2021,1,south,7428356,10208060134.038582,TOTAL
1268,NCT of Delhi,2021,1,north,7199592,12976771848.005224,TOTAL
1269,NCT of Delhi,2021,1,shahdara,4235592,9595155648.30619,TOTAL
1270,NCT of Delhi,2021,2,central delhi,62131856,100895875737.76091,TOTAL
1271,NCT of Delhi,2021,2,new delhi,36788618,60387138441.32027,TOTAL
1272,NCT of Delhi,2021,2,west,12217454,22460950400.13157,TOTAL
1273,NCT of Delhi,2021,2,south east delhi,11519378,17106146861.933064,TOTAL
1274,NCT of Delhi,2021,2,north west,8373397,15462806103.953077,TOTAL
1275,NCT of Delhi,2021,2,south west,8208259,13456640547.363726,TOTAL
1276,NCT of Delhi,2021,2,east,7486985,10978698462.135324,TOTAL
1277,NCT of Delhi,2021,2,south,7346726,9956087387.089846,TOTAL
1278,NCT of Delhi,2021,2,north,7283521,13045029034.825657,TOTAL
1279,NCT of Delhi,2021,2,north east,4567057,9118331386.987755,TOTAL
1280,NCT of Delhi,2021,3,central delhi,88849847,137311394953.58371,TOTAL
1281,NCT of Delhi,2021,3,new delhi,50089446,77874603330.18227,TOTAL
1282,NCT of Delhi,2021,3,south east delhi,17254936,25283744433.53666,TOTAL
1283,NCT of Delhi,2021,3,west,17186832,31879892281.09146,TOTAL
1284,NCT of Delhi,2021,3,north west,11436200,21133053482.335484,TOTAL
1285,NCT of Delhi,2021,3,south west,10691277,17385987188.960205,TOTAL
1286,NCT of Delhi,2021,3,east,10407086,14944795668.028805,TOTAL
1287,NCT of Delhi,2021,3,south,10381321,13789719686.570164,TOTAL
1288,NCT of Delhi,2021,3,north,10359707,18205778951.817303,TOTAL
1289,NCT of Delhi,2021,3,shahdara,6108459,13750322170.230267,TOTAL
1290,NCT of Delhi,2021,4,central delhi,111134916,177625511230.04297,TOTAL
1291,NCT of Delhi,2021,4,new delhi,61634107,99244375372.27344,TOTAL
1292,NCT of Delhi,2021,4,south east delhi,21366628,32122243404.91709,TOTAL
1293,NCT of Delhi,2021,4,west,20430656,39890704519.6619,TOTAL
1294,NCT of Delhi,2021,4,north west,13585992,26091698381.40573,TOTAL
1295,NCT of Delhi,2021,4,south,12510023,16942839763.775913,TOTAL
1296,NCT of Delhi,2021,4,north,12503180,22723650290.401375,TOTAL
1297,NCT of Delhi,2021,4,south west,12404698,21054166955.724888,TOTAL
1298,NCT of Delhi,2021,4,east,12092666,18447833006.757885,TOTAL
1299,NCT of Delhi,2021,4,shahdara,7518346,17929102853.313446,TOTAL
1300,NCT of Delhi,2022,1,central delhi,128309915,198072597274.588,TOTAL
1301,NCT of Delhi,2022,1,new delhi,71006225,110657872546.40234,TOTAL
1302,NCT of Delhi,2022,1,south east delhi,23146633,34276252396.92598,TOTAL
1303,NCT of Delhi,2022,1,west,22748647,43283043830.88957,TOTAL
1304,NCT of Delhi,2022,1,north west,14899833,28208907241.065834,TOTAL
1305,NCT of Delhi,2022,1,north,14076598,25099334230.75274,TOTAL
1306,NCT of Delhi,2022,1,south west,13659485,22636957994.996166,TOTAL
1307,NCT of Delhi,2022,1,south,13519253,17982839888.57036,TOTAL
1308,NCT of Delhi,2022,1,east,13032988,19771730745.94047,TOTAL
1309,NCT of Delhi,2022,1,north east,8357217,17814230282.345295,TOTAL
1310,NCT of Delhi,2022,2,central delhi,159034619,232911858055.08478,TOTAL
1311,NCT of Delhi,2022,2,new delhi,87939392,129418048270.15207,TOTAL
1312,NCT of Delhi,2022,2,south east delhi,29302567,40564903164.264656,TOTAL
1313,NCT of Delhi,2022,2,west,28008086,50563146986.313255,TOTAL
1314,NCT of Delhi,2022,2,north west,18057230,33092543802.040115,TOTAL
1315,NCT of Delhi,2022,2,north,17494896,29482073628.067886,TOTAL
1316,NCT of Delhi,2022,2,south,17358990,21493188986.975037,TOTAL
1317,NCT of Delhi,2022,2,south west,16899542,26515960445.85206,TOTAL
1318,NCT of Delhi,2022,2,east,16485686,23141432019.978474,TOTAL
1319,NCT of Delhi,2022,2,shahdara,10060246,22195136725.333412,TOTAL
1320,NCT of Delhi,2022,3,central delhi,243139962,327191972497.867,TOTAL
1321,NCT of Delhi,2022,3,new delhi,58178476,76558260276.67705,TOTAL
1322,NCT of Delhi,2022,3,west,30595250,52638495087.749954,TOTAL
1323,NCT of Delhi,2022,3,south east delhi,30215862,40627500625.401535,TOTAL
1324,NCT of Delhi,2022,3,east,21104584,28881717613.549664,TOTAL
1325,NCT of Delhi,2022,3,north west,18316480,32675014921.771603,TOTAL
1326,NCT of Delhi,2022,3,south,18234782,21732528705.790974,TOTAL
1327,NCT of Delhi,2022,3,north,18232076,29812600679.07141,TOTAL
1328,NCT of Delhi,2022,3,south west,17276601,26324661266.56317,TOTAL
1329,NCT of Delhi,2022,3,shahdara,10220528,21361296110.510616,TOTAL
1330,NCT of Delhi,2022,4,central delhi,280960656,386107883617.53076,TOTAL
1331,NCT of Delhi,2022,4,new delhi,45094468,58157025088.38431,TOTAL
1332,NCT of Delhi,2022,4,south east delhi,33116019,44231426531.24901,TOTAL
1333,NCT of Delhi,2022,4,west,32293188,56453476563.182175,TOTAL
1334,NCT of Delhi,2022,4,east,23683133,33122093387.044395,TOTAL
1335,NCT of Delhi,2022,4,north west,19859098,35599171826.28781,TOTAL
1336,NCT of Delhi,2022,4,south,19537728,23391855096.18752,TOTAL
1337,NCT of Delhi,2022,4,north,19393947,31932822870.2881,TOTAL
1338,NCT of Delhi,2022,4,south west,18499176,28102930810.327362,TOTAL
1339,NCT of Delhi,2022,4,shahdara,11420073,24438534174.92784,TOTAL
1340,Goa,2018,1,north goa,95114,187108291.98525044,TOTAL
1341,Goa,2018,1,south goa,65783,116748450.35783319,TOTAL
1342,Goa,2018,2,north goa,133429,290814882.35943836,TOTAL
1343,Goa,2018,2,south goa,96146,187788942.99917686,TOTAL
1344,Goa,2018,3,north goa,194726,421264288.45388794,TOTAL
1345,Goa,2018,3,south goa,144785,291902680.78434587,TOTAL
1346,Goa,2018,4,north goa,305380,714879898.599603,TOTAL
1347,Goa,2018,4,south goa,209375,438125180.3228017,TOTAL
1348,Goa,2019,1,north goa,441807,940864352.317215,TOTAL
1349,Goa,2019,1,south goa,297005,534459044.9593618,TOTAL
1350,Goa,2019,2,north goa,470250,1020834861.8525431,TOTAL
1351,Goa,2019,2,south goa,298191,571032241.535074,TOTAL
1352,Goa,2019,3,north goa,673971,1293013307.2683115,TOTAL
1353,Goa,2019,3,south goa,418445,707353884.2285295,TOTAL
1354,Goa,2019,4,north goa,980231,1963621433.5422535,TOTAL
1355,Goa,2019,4,south goa,535041,959838914.9572154,TOTAL
1356,Goa,2020,1,north goa,1277387,2374507200.865538,TOTAL
1357,Goa,2020,1,south goa,603850,1035864031.0582266,TOTAL
1358,Goa,2020,2,north goa,883695,1294651809.391935,TOTAL
1359,Goa,2020,2,south goa,598397,888964620.6248364,TOTAL
1360,Goa,2020,3,north goa,1165122,2087621922.6831622,TOTAL
1361,Goa,2020,3,south goa,750409,1280721658.2614956,TOTAL
1362,Goa,2020,4,north goa,2504378,4712001378.742861,TOTAL
1363,Goa,2020,4,south goa,1297003,2187791368.837076,TOTAL
1364,Goa,2021,1,north goa,3797921,7119400649.563017,TOTAL
1365,Goa,2021,1,south goa,1533628,2637842229.458396,TOTAL
1366,Goa,2021,2,north goa,3083639,5391453884.873638,TOTAL
1367,Goa,2021,2,south goa,1626496,2621399702.202361,TOTAL
1368,Goa,2021,3,north goa,4282602,7042155411.60932,TOTAL
1369,Goa,2021,3,south goa,2185161,3436270181.327051,TOTAL
1370,Goa,2021,4,north goa,7808548,13467044827.548832,TOTAL
1371,Goa,2021,4,south goa,3280211,5160212288.320821,TOTAL
1372,Goa,2022,1,north goa,8513573,14075639843.882042,TOTAL
1373,Goa,2022,1,south goa,3700525,5740805558.964066,TOTAL
1374,Goa,2022,2,north goa,9999773,16484842033.028084,TOTAL
1375,Goa,2022,2,south goa,4216281,6388195726.492123,TOTAL
1376,Goa,2022,3,north goa,8310698,13076925808.314318,TOTAL
1377,Goa,2022,3,south goa,4877989,6497339467.392014,TOTAL
1378,Goa,2022,4,north goa,11455490,17268434371.99816,TOTAL
1379,Goa,2022,4,south goa,5737184,7656551999.340998,TOTAL
1380,Gujarat,2018,1,ahmadabad,1436152,2153123692.102863,TOTAL
1381,Gujarat,2018,1,surat,983723,1346833710.5223997,TOTAL
1382,Gujarat,2018,1,vadodara,387998,604645570.2100985,TOTAL
1383,Gujarat,2018,1,banas kantha,237457,197883270.21264294,TOTAL
1384,Gujarat,2018,1,gandhinagar,237393,318002413.6906459,TOTAL
1385,Gujarat,2018,1,mahesana,227748,213031001.6165129,TOTAL
1386,Gujarat,2018,1,rajkot,219190,296803513.7880937,TOTAL
1387,Gujarat,2018,1,kachchh,217912,316933354.7930958,TOTAL
1388,Gujarat,2018,1,bharuch,210073,249246117.13529772,TOTAL
1389,Gujarat,2018,1,bhavnagar,182948,171495425.58982483,TOTAL
1390,Gujarat,2018,2,ahmadabad,1809774,3307127930.4397454,TOTAL
1391,Gujarat,2018,2,surat,1310963,2189526110.381512,TOTAL
1392,Gujarat,2018,2,vadodara,528893,975136493.2075567,TOTAL
1393,Gujarat,2018,2,gandhinagar,315542,522133969.7111994,TOTAL
1394,Gujarat,2018,2,banas kantha,307928,362168353.1498716,TOTAL
1395,Gujarat,2018,2,bharuch,289862,428830769.63445514,TOTAL
1396,Gujarat,2018,2,kachchh,287874,494142161.9887994,TOTAL
1397,Gujarat,2018,2,mahesana,286014,362586915.57954156,TOTAL
1398,Gujarat,2018,2,rajkot,283913,465751106.64481115,TOTAL
1399,Gujarat,2018,2,bhavnagar,253332,265850891.74358377,TOTAL
1400,Gujarat,2018,3,ahmadabad,2600288,4740981792.133425,TOTAL
1401,Gujarat,2018,3,surat,1899586,3203734473.971199,TOTAL
1402,Gujarat,2018,3,vadodara,773456,1452835059.4761376,TOTAL
1403,Gujarat,2018,3,bharuch,480222,695864170.869137,TOTAL
1404,Gujarat,2018,3,gandhinagar,479518,791502891.3922588,TOTAL
1405,Gujarat,2018,3,mahesana,464894,561504997.461841,TOTAL
1406,Gujarat,2018,3,kachchh,421411,764023467.8126487,TOTAL
1407,Gujarat,2018,3,rajkot,402342,650585707.9949489,TOTAL
1408,Gujarat,2018,3,banas kantha,396566,532922632.7560996,TOTAL
1409,Gujarat,2018,3,bhavnagar,374470,397576856.4658471,TOTAL
1410,Gujarat,2018,4,ahmadabad,3990090,6515656157.237562,TOTAL
1411,Gujarat,2018,4,surat,2225031,4270243993.924238,TOTAL
1412,Gujarat,2018,4,vadodara,1047381,2063816597.5452976,TOTAL
1413,Gujarat,2018,4,gandhinagar,693588,1143266870.1325014,TOTAL
1414,Gujarat,2018,4,bharuch,603122,1036812125.2621627,TOTAL
1415,Gujarat,2018,4,kachchh,537116,1068486738.7583004,TOTAL
1416,Gujarat,2018,4,banas kantha,529655,758278914.52389,TOTAL
1417,Gujarat,2018,4,mahesana,529470,758586454.1320899,TOTAL
1418,Gujarat,2018,4,rajkot,472933,879868564.9668198,TOTAL
1419,Gujarat,2018,4,valsad,468363,753128666.5596428,TOTAL
1420,Gujarat,2019,1,ahmadabad,7894660,10956007756.562977,TOTAL
1421,Gujarat,2019,1,surat,3283182,5664609103.880556,TOTAL
1422,Gujarat,2019,1,vadodara,1655864,2706612327.076613,TOTAL
1423,Gujarat,2019,1,gandhinagar,1244457,1559852035.3782334,TOTAL
1424,Gujarat,2019,1,navsari,1112006,1853217634.4572105,TOTAL
1425,Gujarat,2019,1,bharuch,926374,1330716993.7382002,TOTAL
1426,Gujarat,2019,1,mahesana,899763,1021313511.4526355,TOTAL
1427,Gujarat,2019,1,kachchh,895127,1364193288.246049,TOTAL
1428,Gujarat,2019,1,banas kantha,805139,1054321489.3685756,TOTAL
1429,Gujarat,2019,1,valsad,750124,983591069.6663814,TOTAL
1430,Gujarat,2019,2,ahmadabad,11689965,19024891336.636116,TOTAL
1431,Gujarat,2019,2,navsari,3136644,5394071895.487188,TOTAL
1432,Gujarat,2019,2,surat,3047988,6016899815.178611,TOTAL
1433,Gujarat,2019,2,vadodara,1717964,3251133813.8582134,TOTAL
